id,run_type,number_added,avg_time_per_insert,total_nodes,operation_count,height, rotations
50000,inorder_avl_insertion,99899670,0.000000617,50000,238,16,1
100000,inorder_avl_insertion,99799827,0.000001057,100000,252,17,1
150000,inorder_avl_insertion,99699917,0.000000886,150000,266,18,1
200000,inorder_avl_insertion,99599846,0.000000818,200000,266,18,1
250000,inorder_avl_insertion,99500277,0.000000799,250000,266,18,1
300000,inorder_avl_insertion,99399787,0.000000860,300000,280,19,1
350000,inorder_avl_insertion,99299527,0.000000822,350000,280,19,1
400000,inorder_avl_insertion,99199124,0.000000744,400000,280,19,1
450000,inorder_avl_insertion,99099085,0.000000735,450000,280,19,1
500000,inorder_avl_insertion,98999540,0.000000689,500000,280,19,1
550000,inorder_avl_insertion,98899720,0.000000843,550000,294,20,1
600000,inorder_avl_insertion,98799351,0.000000768,600000,294,20,1
650000,inorder_avl_insertion,98699158,0.000000741,650000,294,20,1
700000,inorder_avl_insertion,98599292,0.000000771,700000,294,20,1
750000,inorder_avl_insertion,98499111,0.000000826,750000,294,20,1
800000,inorder_avl_insertion,98399124,0.000000773,800000,294,20,1
850000,inorder_avl_insertion,98298818,0.000000788,850000,294,20,1
900000,inorder_avl_insertion,98198709,0.000000751,900000,294,20,1
950000,inorder_avl_insertion,98098395,0.000000776,950000,294,20,1
1000000,inorder_avl_insertion,97998506,0.000000762,1000000,294,20,1
1050000,inorder_avl_insertion,97897860,0.000000808,1050000,308,21,1
1100000,inorder_avl_insertion,97797943,0.000000862,1100000,308,21,1
1150000,inorder_avl_insertion,97697734,0.000000826,1150000,308,21,1
1200000,inorder_avl_insertion,97598435,0.000000776,1200000,308,21,1
1250000,inorder_avl_insertion,97498345,0.000000863,1250000,308,21,1
1300000,inorder_avl_insertion,97398410,0.000000847,1300000,308,21,1
1350000,inorder_avl_insertion,97298513,0.000000840,1350000,308,21,1
1400000,inorder_avl_insertion,97198483,0.000000866,1400000,308,21,1
1450000,inorder_avl_insertion,97098345,0.000000836,1450000,308,21,1
1500000,inorder_avl_insertion,96998115,0.000000778,1500000,308,21,1
1550000,inorder_avl_insertion,96898127,0.000000790,1550000,308,21,1
1600000,inorder_avl_insertion,96798315,0.000000786,1600000,308,21,1
1650000,inorder_avl_insertion,96698444,0.000000871,1650000,308,21,1
1700000,inorder_avl_insertion,96598271,0.000000775,1700000,308,21,1
1750000,inorder_avl_insertion,96498116,0.000000787,1750000,308,21,1
1800000,inorder_avl_insertion,96398271,0.000000760,1800000,308,21,1
1850000,inorder_avl_insertion,96297950,0.000000775,1850000,308,21,1
1900000,inorder_avl_insertion,96197632,0.000000806,1900000,308,21,1
1950000,inorder_avl_insertion,96097607,0.000000824,1950000,308,21,1
2000000,inorder_avl_insertion,95997716,0.000000826,2000000,308,21,1
2050000,inorder_avl_insertion,95897897,0.000000805,2050000,308,21,1
2100000,inorder_avl_insertion,95798583,0.000000855,2100000,322,22,1
2150000,inorder_avl_insertion,95698716,0.000000778,2150000,322,22,1
2200000,inorder_avl_insertion,95599647,0.000000747,2200000,322,22,1
2250000,inorder_avl_insertion,95500146,0.000000786,2250000,322,22,1
2300000,inorder_avl_insertion,95399836,0.000000753,2300000,322,22,1
2350000,inorder_avl_insertion,95300598,0.000000805,2350000,322,22,1
2400000,inorder_avl_insertion,95200900,0.000000797,2400000,322,22,1
2450000,inorder_avl_insertion,95100776,0.000000776,2450000,322,22,1
