id,run_type,number_added,avg_time_per_insert,total_nodes,operation_count,height, rotations
50000,random_avl_insertion,71955931,0.000000639,50000,212,19,0
100000,random_avl_insertion,37175583,0.000000906,100000,240,20,0
150000,random_avl_insertion,55750283,0.000001008,150000,240,21,0
200000,random_avl_insertion,69987895,0.000000988,200000,273,21,2
250000,random_avl_insertion,81874764,0.000001068,250000,266,21,1
300000,random_avl_insertion,29161584,0.000001209,300000,266,22,1
350000,random_avl_insertion,91683713,0.000001214,350000,254,22,0
400000,random_avl_insertion,61869354,0.000001277,400000,268,22,0
450000,random_avl_insertion,53194671,0.000001187,450000,282,22,0
500000,random_avl_insertion,92664745,0.000001261,500000,282,23,0
550000,random_avl_insertion,2402087,0.000001334,550000,301,23,2
600000,random_avl_insertion,68268502,0.000001427,600000,282,23,0
650000,random_avl_insertion,15909140,0.000001430,650000,282,23,0
700000,random_avl_insertion,90987222,0.000001541,700000,301,23,2
750000,random_avl_insertion,28172124,0.000001666,750000,282,23,0
800000,random_avl_insertion,51958634,0.000001696,800000,308,24,1
850000,random_avl_insertion,39245477,0.000001385,850000,268,24,0
900000,random_avl_insertion,35643661,0.000001361,900000,294,24,1
950000,random_avl_insertion,23460877,0.000001795,950000,296,24,0
1000000,random_avl_insertion,68020030,0.000001600,1000000,294,24,1
1050000,random_avl_insertion,74504125,0.000001569,1050000,308,24,1
1100000,random_avl_insertion,72582969,0.000001714,1100000,254,24,0
1150000,random_avl_insertion,67528810,0.000001664,1150000,282,24,0
1200000,random_avl_insertion,6451881,0.000001814,1200000,301,24,2
1250000,random_avl_insertion,20750183,0.000001716,1250000,329,24,2
1300000,random_avl_insertion,65133057,0.000001805,1300000,254,24,0
1350000,random_avl_insertion,60267065,0.000001817,1350000,268,24,0
1400000,random_avl_insertion,12852761,0.000001738,1400000,343,25,2
1450000,random_avl_insertion,12819991,0.000001928,1450000,336,25,1
1500000,random_avl_insertion,70851310,0.000001843,1500000,282,25,0
1550000,random_avl_insertion,75225013,0.000001852,1550000,336,25,1
1600000,random_avl_insertion,48418114,0.000001816,1600000,282,25,0
1650000,random_avl_insertion,8783812,0.000001903,1650000,296,25,0
1700000,random_avl_insertion,79993078,0.000001834,1700000,308,25,1
1750000,random_avl_insertion,37331356,0.000001972,1750000,268,25,0
1800000,random_avl_insertion,28751664,0.000001905,1800000,282,25,0
1850000,random_avl_insertion,25477758,0.000001875,1850000,282,25,0
1900000,random_avl_insertion,64109722,0.000001933,1900000,315,25,2
1950000,random_avl_insertion,86243994,0.000001986,1950000,329,25,2
2000000,random_avl_insertion,45311086,0.000001853,2000000,315,25,2
2050000,random_avl_insertion,77684664,0.000001794,2050000,336,25,1
2100000,random_avl_insertion,89055648,0.000001864,2100000,329,25,2
2150000,random_avl_insertion,64653247,0.000001987,2150000,296,25,0
2200000,random_avl_insertion,40717548,0.000002069,2200000,301,25,2
2250000,random_avl_insertion,43056773,0.000002222,2250000,310,25,0
2300000,random_avl_insertion,58354780,0.000001964,2300000,322,25,1
2350000,random_avl_insertion,40314688,0.000001892,2350000,329,25,2
2400000,random_avl_insertion,79641042,0.000002003,2400000,310,25,0
2450000,random_avl_insertion,82263567,0.000001996,2450000,296,25,0
2500000,random_avl_insertion,56048302,0.000002107,2500000,324,25,0
2550000,random_avl_insertion,20634414,0.000002019,2550000,296,25,0
2600000,random_avl_insertion,78387981,0.000002071,2600000,308,25,1
2650000,random_avl_insertion,58907293,0.000002075,2650000,282,26,0
2700000,random_avl_insertion,28656321,0.000002193,2700000,308,26,1
2750000,random_avl_insertion,58664238,0.000002115,2750000,310,26,0
2800000,random_avl_insertion,34937316,0.000002100,2800000,343,26,2
2850000,random_avl_insertion,95554451,0.000002031,2850000,322,26,1
2900000,random_avl_insertion,70066211,0.000002133,2900000,310,26,0
2950000,random_avl_insertion,72236003,0.000002148,2950000,310,26,0
3000000,random_avl_insertion,80177865,0.000002064,3000000,315,26,2
3050000,random_avl_insertion,27212565,0.000002092,3050000,329,26,2
3100000,random_avl_insertion,66314043,0.000002066,3100000,268,26,0
3150000,random_avl_insertion,38612267,0.000002287,3150000,282,26,0
3200000,random_avl_insertion,83595632,0.000002334,3200000,310,26,0
3250000,random_avl_insertion,86151065,0.000002419,3250000,282,26,0
3300000,random_avl_insertion,87478585,0.000002396,3300000,310,26,0
3350000,random_avl_insertion,55879209,0.000002477,3350000,324,26,0
3400000,random_avl_insertion,72845724,0.000002471,3400000,310,26,0
3450000,random_avl_insertion,89231590,0.000002233,3450000,296,26,0
3500000,random_avl_insertion,63536224,0.000002251,3500000,329,26,2
3550000,random_avl_insertion,41495693,0.000002110,3550000,310,26,0
3600000,random_avl_insertion,35823057,0.000002186,3600000,296,26,0
3650000,random_avl_insertion,28296653,0.000002424,3650000,296,26,0
3700000,random_avl_insertion,58945590,0.000002378,3700000,296,26,0
3750000,random_avl_insertion,92229947,0.000002493,3750000,336,26,1
3800000,random_avl_insertion,62491679,0.000002590,3800000,296,26,0
3850000,random_avl_insertion,63071440,0.000002543,3850000,343,26,2
3900000,random_avl_insertion,18389923,0.000002491,3900000,329,26,2
3950000,random_avl_insertion,41331943,0.000002397,3950000,343,26,2
4000000,random_avl_insertion,43916632,0.000002542,4000000,324,26,0
4050000,random_avl_insertion,97226559,0.000002509,4050000,268,26,0
4100000,random_avl_insertion,10928556,0.000002249,4100000,310,26,0
4150000,random_avl_insertion,2881231,0.000002372,4150000,324,26,0
4200000,random_avl_insertion,42625263,0.000002531,4200000,324,26,0
4250000,random_avl_insertion,20599560,0.000002529,4250000,310,26,0
4300000,random_avl_insertion,54476408,0.000002429,4300000,296,26,0
