id,run_type,tree_size,batch_size,total_elapsed_time,ops_count
1,inorder_bin_delete,1000,1000,2.6383530000e-03,1001
2,inorder_bin_delete,2000,1000,5.7765620000e-03,2001
3,inorder_bin_delete,3000,1000,8.9626990000e-03,3001
4,inorder_bin_delete,4000,1000,1.1983645000e-02,4001
5,inorder_bin_delete,5000,1000,1.5058592000e-02,5001
6,inorder_bin_delete,6000,1000,1.8439936000e-02,6001
7,inorder_bin_delete,7000,1000,2.1465783000e-02,7001
8,inorder_bin_delete,8000,1000,2.4714760000e-02,8001
9,inorder_bin_delete,9000,1000,2.7565153000e-02,9001
10,inorder_bin_delete,10000,1000,3.0569931000e-02,10001
11,inorder_bin_delete,11000,1000,3.3611009000e-02,11001
12,inorder_bin_delete,12000,1000,3.6889974000e-02,12001
13,inorder_bin_delete,13000,1000,3.9902553000e-02,13001
14,inorder_bin_delete,14000,1000,4.3248120000e-02,14001
15,inorder_bin_delete,15000,1000,4.6882283000e-02,15001
16,inorder_bin_delete,16000,1000,5.4498511000e-02,16001
17,inorder_bin_delete,17000,1000,5.3617562000e-02,17001
18,inorder_bin_delete,18000,1000,5.7235624000e-02,18001
19,inorder_bin_delete,19000,1000,6.0322530000e-02,19001
20,inorder_bin_delete,20000,1000,6.3057941000e-02,20001
21,inorder_bin_delete,21000,1000,6.5150524000e-02,21001
22,inorder_bin_delete,22000,1000,7.0549978000e-02,22001
23,inorder_bin_delete,23000,1000,7.1630315000e-02,23001
24,inorder_bin_delete,24000,1000,7.5347528000e-02,24001
25,inorder_bin_delete,25000,1000,8.0340567000e-02,25001
26,inorder_bin_delete,26000,1000,8.3012833000e-02,26001
27,inorder_bin_delete,27000,1000,8.6267059000e-02,27001
28,inorder_bin_delete,28000,1000,9.2457957000e-02,28001
29,inorder_bin_delete,29000,1000,9.4138741000e-02,29001
30,inorder_bin_delete,30000,1000,9.9255893000e-02,30001
31,inorder_bin_delete,31000,1000,1.0227549200e-01,31001
32,inorder_bin_delete,32000,1000,1.0857804700e-01,32001
33,inorder_bin_delete,33000,1000,1.1249030900e-01,33001
34,inorder_bin_delete,34000,1000,1.1429623200e-01,34001
35,inorder_bin_delete,35000,1000,1.1896847600e-01,35001
36,inorder_bin_delete,36000,1000,1.2397661400e-01,36001
37,inorder_bin_delete,37000,1000,1.3020990900e-01,37001
38,inorder_bin_delete,38000,1000,1.3455971200e-01,38001
39,inorder_bin_delete,39000,1000,1.4131970400e-01,39001
40,inorder_bin_delete,40000,1000,1.4349577100e-01,40001
41,inorder_bin_delete,41000,1000,1.4963298000e-01,41001
42,inorder_bin_delete,42000,1000,1.5322573700e-01,42001
43,inorder_bin_delete,43000,1000,1.5673459300e-01,43001
44,inorder_bin_delete,44000,1000,1.6777876100e-01,44001
45,inorder_bin_delete,45000,1000,1.6685321800e-01,45001
46,inorder_bin_delete,46000,1000,1.7549907200e-01,46001
47,inorder_bin_delete,47000,1000,1.7840066500e-01,47001
48,inorder_bin_delete,48000,1000,1.8612322100e-01,48001
49,inorder_bin_delete,49000,1000,1.8759927000e-01,49001
