id,run_type,number_added,avg_time_per_insert,total_nodes,operation_count
1000,inorder_bin_insertion,99998054,0.000001511,1000,2000
2000,inorder_bin_insertion,99996075,0.000004795,2000,4000
3000,inorder_bin_insertion,99994119,0.000006688,3000,6000
4000,inorder_bin_insertion,99992130,0.000009438,4000,8000
5000,inorder_bin_insertion,99990074,0.000011575,5000,10000
6000,inorder_bin_insertion,99988095,0.000014492,6000,12000
7000,inorder_bin_insertion,99986067,0.000017777,7000,14000
8000,inorder_bin_insertion,99984084,0.000019309,8000,16000
9000,inorder_bin_insertion,99982057,0.000023578,9000,18000
10000,inorder_bin_insertion,99980092,0.000024714,10000,20000
11000,inorder_bin_insertion,99978055,0.000026915,11000,22000
12000,inorder_bin_insertion,99976027,0.000030355,12000,24000
13000,inorder_bin_insertion,99974061,0.000031906,13000,26000
14000,inorder_bin_insertion,99972110,0.000034416,14000,28000
15000,inorder_bin_insertion,99970134,0.000037046,15000,30000
16000,inorder_bin_insertion,99968135,0.000039633,16000,32000
17000,inorder_bin_insertion,99966193,0.000041817,17000,34000
18000,inorder_bin_insertion,99964202,0.000044334,18000,36000
19000,inorder_bin_insertion,99962161,0.000047274,19000,38000
20000,inorder_bin_insertion,99960252,0.000049760,20000,40000
21000,inorder_bin_insertion,99958192,0.000052220,21000,42000
22000,inorder_bin_insertion,99956130,0.000054473,22000,44000
23000,inorder_bin_insertion,99954027,0.000057115,23000,46000
24000,inorder_bin_insertion,99952002,0.000060239,24000,48000
25000,inorder_bin_insertion,99950002,0.000061878,25000,50000
26000,inorder_bin_insertion,99948011,0.000064429,26000,52000
27000,inorder_bin_insertion,99946037,0.000066871,27000,54000
28000,inorder_bin_insertion,99943976,0.000069502,28000,56000
29000,inorder_bin_insertion,99941982,0.000072254,29000,58000
30000,inorder_bin_insertion,99939993,0.000075754,30000,60000
31000,inorder_bin_insertion,99937999,0.000077368,31000,62000
32000,inorder_bin_insertion,99935928,0.000081215,32000,64000
33000,inorder_bin_insertion,99933882,0.000082100,33000,66000
34000,inorder_bin_insertion,99931871,0.000084873,34000,68000
35000,inorder_bin_insertion,99929784,0.000087286,35000,70000
36000,inorder_bin_insertion,99927784,0.000091620,36000,72000
37000,inorder_bin_insertion,99925776,0.000092259,37000,74000
38000,inorder_bin_insertion,99923624,0.000095805,38000,76000
39000,inorder_bin_insertion,99921662,0.000097988,39000,78000
40000,inorder_bin_insertion,99919677,0.000099982,40000,80000
41000,inorder_bin_insertion,99917745,0.000104088,41000,82000
42000,inorder_bin_insertion,99915722,0.000105557,42000,84000
43000,inorder_bin_insertion,99913742,0.000108107,43000,86000
44000,inorder_bin_insertion,99911692,0.000110705,44000,88000
45000,inorder_bin_insertion,99909704,0.000113137,45000,90000
46000,inorder_bin_insertion,99907715,0.000114428,46000,92000
47000,inorder_bin_insertion,99905651,0.000116679,47000,94000
48000,inorder_bin_insertion,99903693,0.000118374,48000,96000
49000,inorder_bin_insertion,99901686,0.000121169,49000,98000
50000,inorder_bin_insertion,99899670,0.000123473,50000,100000
51000,inorder_bin_insertion,99897696,0.000126103,51000,102000
52000,inorder_bin_insertion,99895703,0.000129158,52000,104000
53000,inorder_bin_insertion,99893719,0.000132576,53000,106000
54000,inorder_bin_insertion,99891798,0.000134157,54000,108000
55000,inorder_bin_insertion,99889765,0.000137019,55000,110000
56000,inorder_bin_insertion,99887686,0.000138365,56000,112000
57000,inorder_bin_insertion,99885713,0.000140934,57000,114000
58000,inorder_bin_insertion,99883708,0.000144324,58000,116000
59000,inorder_bin_insertion,99881692,0.000146654,59000,118000
