id,run_type,number_added,avg_time_per_insert,total_nodes,operation_count
1000,random_bin_insertion,46614406,0.000000469,1000,26
2000,random_bin_insertion,68686244,0.000000350,2000,36
3000,random_bin_insertion,68395271,0.000000289,3000,28
4000,random_bin_insertion,59142047,0.000000323,4000,26
5000,random_bin_insertion,21036901,0.000000366,5000,32
6000,random_bin_insertion,39146351,0.000000462,6000,46
7000,random_bin_insertion,79576609,0.000000419,7000,24
8000,random_bin_insertion,71669005,0.000000688,8000,36
9000,random_bin_insertion,79181227,0.000000458,9000,38
10000,random_bin_insertion,91845535,0.000000293,10000,42
11000,random_bin_insertion,84241955,0.000000567,11000,32
12000,random_bin_insertion,46070970,0.000000451,12000,28
13000,random_bin_insertion,86522069,0.000000372,13000,32
14000,random_bin_insertion,1840622,0.000000324,14000,48
15000,random_bin_insertion,1837252,0.000001487,15000,50
16000,random_bin_insertion,2023573,0.000000796,16000,40
17000,random_bin_insertion,32829734,0.000000611,17000,52
18000,random_bin_insertion,12254333,0.000000635,18000,52
19000,random_bin_insertion,40222724,0.000000463,19000,52
20000,random_bin_insertion,96741422,0.000000328,20000,32
21000,random_bin_insertion,4731101,0.000000443,21000,36
22000,random_bin_insertion,91417230,0.000000307,22000,36
23000,random_bin_insertion,64994185,0.000000314,23000,44
24000,random_bin_insertion,8291914,0.000000434,24000,42
25000,random_bin_insertion,91740789,0.000000447,25000,48
26000,random_bin_insertion,70235856,0.000000500,26000,42
27000,random_bin_insertion,12894566,0.000000298,27000,38
28000,random_bin_insertion,64808833,0.000000307,28000,34
29000,random_bin_insertion,29087880,0.000000306,29000,40
30000,random_bin_insertion,15416230,0.000000401,30000,52
31000,random_bin_insertion,76469890,0.000000349,31000,68
32000,random_bin_insertion,41759167,0.000000322,32000,48
33000,random_bin_insertion,17748748,0.000000313,33000,44
34000,random_bin_insertion,8919205,0.000000317,34000,44
35000,random_bin_insertion,38893912,0.000000421,35000,42
36000,random_bin_insertion,25712149,0.000000488,36000,38
37000,random_bin_insertion,44367604,0.000000414,37000,44
38000,random_bin_insertion,69784727,0.000000351,38000,46
39000,random_bin_insertion,57757069,0.000000400,39000,46
40000,random_bin_insertion,18111482,0.000000284,40000,46
41000,random_bin_insertion,83695447,0.000000260,41000,60
42000,random_bin_insertion,62077195,0.000000323,42000,46
43000,random_bin_insertion,58613851,0.000000297,43000,40
44000,random_bin_insertion,2484996,0.000000271,44000,48
45000,random_bin_insertion,40001424,0.000000260,45000,38
46000,random_bin_insertion,4559752,0.000000258,46000,42
47000,random_bin_insertion,51166262,0.000000241,47000,40
48000,random_bin_insertion,87400731,0.000000436,48000,38
49000,random_bin_insertion,63982040,0.000000363,49000,40
50000,random_bin_insertion,71955931,0.000000299,50000,40
51000,random_bin_insertion,63009129,0.000000276,51000,46
52000,random_bin_insertion,73907449,0.000000270,52000,50
53000,random_bin_insertion,76502959,0.000000412,53000,72
54000,random_bin_insertion,62455302,0.000000524,54000,42
55000,random_bin_insertion,27470689,0.000000933,55000,36
56000,random_bin_insertion,32703382,0.000000467,56000,52
57000,random_bin_insertion,87916432,0.000000450,57000,38
58000,random_bin_insertion,37802731,0.000000631,58000,46
59000,random_bin_insertion,43194142,0.000000523,59000,40
60000,random_bin_insertion,73715364,0.000000408,60000,42
61000,random_bin_insertion,6777072,0.000000415,61000,44
62000,random_bin_insertion,43727304,0.000000319,62000,44
63000,random_bin_insertion,70474825,0.000000399,63000,50
64000,random_bin_insertion,39597565,0.000000382,64000,50
65000,random_bin_insertion,75117249,0.000000375,65000,46
66000,random_bin_insertion,36901817,0.000000343,66000,56
67000,random_bin_insertion,28542880,0.000000382,67000,42
68000,random_bin_insertion,31525622,0.000000437,68000,48
69000,random_bin_insertion,31176615,0.000000391,69000,58
70000,random_bin_insertion,3936537,0.000000428,70000,54
71000,random_bin_insertion,7728305,0.000000441,71000,38
72000,random_bin_insertion,76591514,0.000000404,72000,70
73000,random_bin_insertion,62769685,0.000000353,73000,48
74000,random_bin_insertion,22531440,0.000000338,74000,58
75000,random_bin_insertion,38833717,0.000000355,75000,56
76000,random_bin_insertion,87680442,0.000000488,76000,38
77000,random_bin_insertion,98385845,0.000000504,77000,50
78000,random_bin_insertion,2233701,0.000000360,78000,40
79000,random_bin_insertion,70920330,0.000000404,79000,48
80000,random_bin_insertion,58128238,0.000000412,80000,42
81000,random_bin_insertion,92245333,0.000000324,81000,50
82000,random_bin_insertion,63883531,0.000000318,82000,46
83000,random_bin_insertion,25531977,0.000000441,83000,40
84000,random_bin_insertion,80475376,0.000000423,84000,28
85000,random_bin_insertion,21273858,0.000000385,85000,40
86000,random_bin_insertion,17852849,0.000000316,86000,50
87000,random_bin_insertion,53015362,0.000000316,87000,42
88000,random_bin_insertion,73431149,0.000000355,88000,44
89000,random_bin_insertion,41706975,0.000000534,89000,46
90000,random_bin_insertion,2767904,0.000000366,90000,46
91000,random_bin_insertion,39532383,0.000000370,91000,48
92000,random_bin_insertion,84674649,0.000000350,92000,44
93000,random_bin_insertion,43281905,0.000000331,93000,52
94000,random_bin_insertion,3064233,0.000000347,94000,36
95000,random_bin_insertion,41837884,0.000000422,95000,58
96000,random_bin_insertion,27760232,0.000000497,96000,48
97000,random_bin_insertion,69458859,0.000000641,97000,42
98000,random_bin_insertion,68352740,0.000000771,98000,40
99000,random_bin_insertion,84462847,0.000000560,99000,56
100000,random_bin_insertion,37175583,0.000000548,100000,52
